scheme_name,description,eligibility,community,min_age,max_age,max_income,benefits,documents_required,deadline,official_link
PM Matru Vandana Yojana,Maternity benefit scheme providing cash incentive for first live birth,Pregnant and lactating mothers for first live birth,All,18,45,0,Rs.5000 cash benefit in 3 installments for first live birth,Aadhaar Card|Bank Account|MCP Card|Pregnancy Registration Certificate,,https://wcd.nic.in
Startup India,Support scheme for DPIIT recognized startups with innovative business models,DPIIT recognized startups with innovative business models,All,21,45,0,Tax exemption for 3 years funding support mentorship and fast-track patent filing,Business Registration|DPIIT Recognition Certificate|Bank Account,,https://startupindia.gov.in
PM Garib Kalyan Anna Yojana,Free food grain scheme for poor families under National Food Security Act,Families covered under National Food Security Act,All,0,100,0,5 kg free food grain per person per month,Ration Card|Aadhaar Card,,https://dfpd.gov.in
Rashtriya Vayoshri Yojana,Free assistive devices for BPL senior citizens with age-related disabilities,BPL senior citizens above 60 years with age-related disabilities,All,60,100,0,Free spectacles hearing aids walking sticks wheelchairs and dentures,Aadhaar Card|Age Proof|BPL Certificate|Disability Certificate,,https://socialwelfare.gov.in
Senior Citizen Savings Scheme,High interest savings scheme for senior citizens above 60 years,Indian citizens above 60 years or above 55 years if retired on superannuation,All,55,100,0,8.2% interest per annum paid quarterly with maximum deposit of Rs.30 lakh,Aadhaar Card|Age Proof|Bank Account|PAN Card,,https://nsiindia.gov.in
PM Vaya Vandana Yojana,Pension scheme for senior citizens via LIC with guaranteed returns,Senior citizens above 60 years,All,60,80,0,Guaranteed 7.4% return on investment with monthly pension payout,Aadhaar Card|Age Proof|Bank Account|PAN Card,,https://licindia.in
Free Coaching Scheme SC ST,Free coaching for competitive examinations for SC ST students,SC ST students preparing for UPSC SSC banking and other competitive exams,SC,18,30,250000,Free coaching for competitive examinations and stipend of Rs.3000 per month,Aadhaar Card|Caste Certificate|Income Certificate|Educational Certificate,,https://socialjustice.gov.in
Van Dhan Vikas Yojana,Tribal entrepreneurship and livelihood support for forest produce collectors,Tribal communities involved in collection of minor forest produce,ST,18,60,0,Tribal entrepreneurship support value addition to forest produce and market linkage,Aadhaar Card|Tribal Certificate|Bank Account,,https://trifed.in
National SC ST Hub,Support for SC ST entrepreneurs in government procurement and tenders,SC ST entrepreneurs and business owners,SC,21,65,0,Support for government tenders mentorship and capacity building,Aadhaar Card|Business Registration|Caste Certificate|Bank Account,,https://nscshub.udyamimitra.in
PM Poshan Shakti Nirman,Mid-day meal scheme providing free nutritious meals to school children,Students enrolled in government and government-aided schools from Class 1 to 8,All,6,14,0,Free nutritious mid-day meal every school day,School Enrollment Certificate,,https://pmposhan.education.gov.in
One Nation One Ration Card,Portability of ration card allowing access to subsidized food across India,All NFSA beneficiaries with ration card,All,0,100,0,Access to subsidized food grains from any fair price shop across India,Aadhaar Card|Ration Card,,https://dfpd.gov.in
Moovalur Ramamirtham Ammaiyar Scheme,Financial support for first generation girl students from Tamil Nadu government schools,First generation girl students from Tamil Nadu government schools joining higher education,All,18,25,0,Rs.1000 per month plus Rs.25000 on graduation,School TC|College Admission|Aadhaar Card|Bank Account,,https://tn.gov.in
TN Unorganised Workers Welfare Scheme,Welfare scheme for unorganised sector workers in Tamil Nadu,Unorganised sector workers registered with Tamil Nadu Labour Department,All,18,60,0,Accident insurance education aid marriage assistance and death benefit,Aadhaar Card|Labour Department Registration|Bank Account,,https://labour.tn.gov.in
Innuyir Kaapom Tamil Nadu Health Insurance,Health insurance for Tamil Nadu residents with low income,Tamil Nadu residents with annual family income below Rs.72000,All,0,100,72000,Health coverage up to Rs.5 lakh per year for secondary and tertiary care,Aadhaar Card|Ration Card|Income Certificate,,https://tn.gov.in
TN Free Laptop Scheme,Free laptop for students entering Class 11 in Tamil Nadu government schools,Students entering Class 11 in Tamil Nadu government schools,All,15,18,0,Free laptop with internet connectivity,School Enrollment Certificate|Aadhaar Card,,https://tn.gov.in
Kalaignar Kanavu Illam Tamil Nadu Housing,Free house construction support for BPL families in Tamil Nadu,BPL families in Tamil Nadu without pucca house,All,21,65,0,Free house construction support through TNSCB,Aadhaar Card|BPL Certificate|Land Documents|Bank Account,,https://tnscb.com
PM Awas Yojana Urban,Housing scheme with interest subsidy for urban poor families,EWS LIG and MIG families in urban areas without pucca house,All,21,65,0,Home loan interest subsidy up to Rs.2.67 lakh under Credit Linked Subsidy Scheme,Aadhaar Card|Income Certificate|Bank Account|Property Documents,,https://pmaymis.gov.in
Rashtriya Arogya Nidhi,Financial assistance for BPL patients with life-threatening diseases,BPL patients suffering from life-threatening diseases requiring treatment at government hospitals,All,0,100,0,Financial assistance up to Rs.15 lakh for treatment of life-threatening diseases,Aadhaar Card|BPL Certificate|Medical Certificate|Bank Account,,https://mohfw.gov.in
PM Surakshit Matritva Abhiyan,Free antenatal checkup scheme for pregnant women on 9th of every month,All pregnant women in second and third trimester,All,18,45,0,Free antenatal checkup on 9th of every month at government health facilities,Aadhaar Card|MCP Card,,https://pmsma.nhm.gov.in
